"","h1_yoy","h3_yoy","h12_yoy"
"2018-01-01",0.110687445379979,0.109247825309831,0.102712312992507
"2018-02-01",0.0871310730673031,0.0846746629470489,0.0829586778785804
"2018-03-01",0.0982622772373245,0.090643736822693,0.0904474768321402
"2018-04-01",0.0998386259309685,0.103399934886804,0.100741021328845
"2018-05-01",0.134421215047988,0.133181869347714,0.128278864921164
"2018-06-01",0.0439366256721867,0.0488790545971332,0.0534107225133737
"2018-07-01",0.0836711291118611,0.0864398171766971,0.0834461408603842
"2018-08-01",0.0695068533685874,0.0739480366257707,0.0736722110501975
"2018-09-01",0.0835230806516198,0.0863365253911066,0.0848629633920727
"2018-10-01",0.0819810161779258,0.0805741790075327,0.0821249946990866
"2018-11-01",0.0466629230162053,0.047325692409108,0.0560350715075247
"2018-12-01",0.0454057790983909,0.0445828283062895,0.0496831561862871
"2019-01-01",0.0784046590715058,0.0716452447371708,0.0759272355995721
"2019-02-01",0.0461315255317886,0.0463603515798108,0.0419625031427004
"2019-03-01",0.107942915090615,0.106111721860475,0.0976363703848769
"2019-04-01",0.184789741303531,0.184538907969577,0.175682402044075
"2019-05-01",0.0629947167160661,0.0689538460958915,0.0769817779284396
"2019-06-01",0.108119894705412,0.109842538466581,0.109341553237181
"2019-07-01",0.0694642384297375,0.0701623086273295,0.0709010708421086
"2019-08-01",0.118323213743078,0.107885914471531,0.109668253097483
"2019-09-01",0.117281178686374,0.112449180763886,0.112042755542716
"2019-10-01",0.120605304618643,0.118603908520893,0.122335683344812
"2019-11-01",0.0885716531944248,0.088496058100777,0.0910865020518404
"2019-12-01",0.095713604515734,0.0888675202914441,0.0976259794624261
"2020-01-01",-0.0152956500768007,-0.0109581890377089,0.00165017437499852
"2020-02-01",0.0684313844159916,0.0666781495555138,0.061666519929022
"2020-03-01",0.0842304373283373,0.0920639056497832,0.0842524339090561
"2020-04-01",0.0727653883120276,0.0675375253866983,0.0689970373032257
"2020-05-01",0.045097923098918,0.051595182277786,0.0537939152716054
"2020-06-01",0.0640993714818868,0.0677409462323785,0.0677515852833434
"2020-07-01",0.179621517166618,0.173271123880462,0.16380371908567
"2020-08-01",-0.0873799229614945,-0.0666610479815211,-0.0356214172162016
"2020-09-01",0.0139421036710064,0.00636367833914751,0.0188743890404014
"2020-10-01",0.0473697707807585,0.0355867372296038,0.038521858137638
"2020-11-01",0.0448448894652898,0.0338312979919114,0.0365861136298455
"2020-12-01",0.0580168489805723,0.059842024670059,0.0576905161078746
"2021-01-01",0.377270870089203,0.354270081953253,0.311125969260967
"2021-02-01",0.0801078906689327,0.0925416947039473,0.102338804903836
"2021-03-01",0.0328056773560575,0.0439497810645935,0.0616777456064595
"2021-04-01",0.0618157368220014,0.0645544639517822,0.0667125098652119
"2021-05-01",0.114641539822853,0.10308546769068,0.0970347447557913
"2021-06-01",0.114202989731605,0.112513437156054,0.1077824587388
"2021-07-01",0.190798756104471,0.180642895432038,0.167613666264101
"2021-08-01",0.173674105232198,0.160492608895327,0.161637602068316
"2021-09-01",0.188483213728039,0.180200291033557,0.175408006206008
"2021-10-01",0.190830575680718,0.190807920996285,0.180134441287331
"2021-11-01",0.292686094182415,0.280264627408601,0.266324783550434
"2021-12-01",0.244381679213874,0.23687995853841,0.231224661328652
"2022-01-01",0.320576008893874,0.309422740552044,0.307748162446767
"2022-02-01",0.306294412248785,0.296805910811505,0.292003569911779
"2022-03-01",0.311733990025871,0.312880653441503,0.308001601394127
"2022-04-01",0.363339499316434,0.353550889736456,0.343376181495325
